Iteration,Algorithm,Cenary,Initial State,Objective,Generated vertices amount,Visited vertices amount,Cost,Path
0,1,1,(26 3),(0 18),569,513,410,(26 3) (25 3) (24 3) (23 3) (22 3) (21 3) (20 3) (19 3) (18 3) (17 3) (16 3) (15 3) (14 3) (14 4) (14 5) (13 5) (13 6) (12 6) (12 7) (11 7) (10 7) (10 8) (9 8) (9 9) (8 9) (8 10) (7 10) (7 11) (7 12) (6 12) (5 12) (5 13) (4 13) (4 14) (4 15) (3 15) (2 15) (2 16) (1 16) (1 17) (0 17) (0 18) 
0,1,2,(26 3),(0 18),422,273,410,(26 3) (25 3) (24 3) (23 3) (22 3) (21 3) (21 4) (20 4) (20 5) (19 5) (18 5) (17 5) (16 5) (15 5) (15 6) (14 6) (13 6) (12 6) (11 6) (10 6) (9 6) (8 6) (8 7) (7 7) (6 7) (5 7) (4 7) (3 7) (2 7) (1 7) (0 7) (0 8) (0 9) (0 10) (0 11) (0 12) (0 13) (0 14) (0 15) (0 16) (0 17) (0 18) 
0,2,1,(26 3),(0 18),772,722,540,(26 3) (26 4) (26 5) (25 5) (25 6) (24 6) (24 7) (23 7) (23 8) (22 8) (21 8) (20 8) (19 8) (18 8) (18 9) (18 10) (17 10) (17 11) (16 11) (15 11) (14 11) (13 11) (12 11) (12 12) (11 12) (11 13) (10 13) (10 14) (9 14) (8 14) (7 14) (7 15) (6 15) (5 15) (5 16) (4 16) (3 16) (3 17) (2 17) (1 17) (1 18) (0 18) 
0,2,2,(26 3),(0 18),686,629,540,(26 3) (26 4) (26 5) (26 6) (26 7) (26 8) (26 9) (26 10) (26 11) (26 12) (26 13) (26 14) (26 15) (26 16) (26 17) (26 18) (25 18) (24 18) (23 18) (22 18) (21 18) (20 18) (19 18) (18 18) (17 18) (16 18) (15 18) (14 18) (13 18) (12 18) (11 18) (10 18) (9 18) (8 18) (7 18) (6 18) (5 18) (4 18) (3 18) (2 18) (1 18) (0 18) 
0,3,1,(26 3),(0 18),841,784,449,(26 3) (26 4) (26 5) (26 6) (25 6) (24 6) (23 6) (22 6) (21 6) (20 6) (20 7) (20 8) (19 8) (18 8) (17 8) (16 8) (16 9) (16 10) (15 10) (14 10) (13 10) (12 10) (12 11) (12 12) (11 12) (10 12) (9 12) (8 12) (8 13) (8 14) (7 14) (6 14) (5 14) (4 14) (4 15) (4 16) (3 16) (2 16) (1 16) (0 16) (0 17) (0 18) 
0,3,2,(26 3),(0 18),701,578,449,(26 3) (26 4) (26 5) (26 6) (25 6) (24 6) (23 6) (22 6) (21 6) (20 6) (20 7) (20 8) (19 8) (18 8) (17 8) (16 8) (16 9) (16 10) (15 10) (14 10) (13 10) (12 10) (12 11) (12 12) (11 12) (10 12) (9 12) (8 12) (8 13) (8 14) (7 14) (6 14) (5 14) (4 14) (4 15) (4 16) (3 16) (2 16) (1 16) (0 16) (0 17) (0 18) 
0,4,1,(26 3),(0 18),850,759,358,(26 3) (26 4) (26 5) (26 6) (26 7) (25 7) (24 7) (23 7) (22 7) (21 7) (20 7) (19 7) (18 7) (17 7) (16 7) (15 7) (14 7) (13 7) (13 8) (13 9) (13 10) (13 11) (12 11) (11 11) (10 11) (9 11) (8 11) (7 11) (7 12) (7 13) (7 14) (7 15) (7 16) (6 16) (5 16) (4 16) (3 16) (2 16) (1 16) (0 16) (0 17) (0 18) 
0,4,2,(26 3),(0 18),129,52,361,(26 3) (26 4) (26 5) (26 6) (26 7) (26 8) (25 8) (24 8) (23 8) (22 8) (21 8) (20 8) (19 8) (18 8) (17 8) (16 8) (15 8) (15 9) (15 10) (15 11) (15 12) (15 13) (14 13) (13 13) (12 13) (11 13) (10 13) (9 13) (9 14) (9 15) (9 16) (9 17) (9 18) (8 18) (7 18) (6 18) (5 18) (4 18) (3 18) (2 18) (1 18) (0 18) 
1,1,1,(18 7),(15 15),60,38,110,(18 7) (18 8) (18 9) (18 10) (18 11) (18 12) (18 13) (17 13) (17 14) (16 14) (16 15) (15 15) 
1,1,2,(18 7),(15 15),61,35,110,(18 7) (17 7) (17 8) (16 8) (16 9) (16 10) (16 11) (16 12) (16 13) (16 14) (15 14) (15 15) 
1,2,1,(18 7),(15 15),68,43,125,(18 7) (18 8) (18 9) (18 10) (18 11) (18 12) (18 13) (18 14) (17 14) (16 14) (16 15) (15 15) 
1,2,2,(18 7),(15 15),57,34,125,(18 7) (18 8) (18 9) (18 10) (18 11) (18 12) (18 13) (18 14) (18 15) (17 15) (16 15) (15 15) 
1,3,1,(18 7),(15 15),71,41,112,(18 7) (18 8) (18 9) (18 10) (18 11) (17 11) (16 11) (15 11) (15 12) (15 13) (15 14) (15 15) 
1,3,2,(18 7),(15 15),54,26,112,(18 7) (18 8) (18 9) (18 10) (18 11) (17 11) (16 11) (15 11) (15 12) (15 13) (15 14) (15 15) 
1,4,1,(18 7),(15 15),44,24,101,(18 7) (18 8) (18 9) (18 10) (18 11) (18 12) (18 13) (18 14) (17 14) (16 14) (15 14) (15 15) 
1,4,2,(18 7),(15 15),32,12,107,(18 7) (18 8) (18 9) (18 10) (18 11) (18 12) (17 12) (16 12) (15 12) (15 13) (15 14) (15 15) 
2,1,1,(15 8),(1 5),107,71,170,(15 8) (14 8) (13 8) (12 8) (11 8) (10 8) (9 8) (8 8) (7 8) (6 8) (5 8) (4 8) (4 7) (3 7) (2 7) (2 6) (2 5) (1 5) 
2,1,2,(15 8),(1 5),96,56,170,(15 8) (14 8) (13 8) (12 8) (12 7) (11 7) (10 7) (9 7) (8 7) (7 7) (6 7) (5 7) (4 7) (4 6) (4 5) (3 5) (2 5) (1 5) 
2,2,1,(15 8),(1 5),210,168,240,(15 8) (14 8) (13 8) (12 8) (11 8) (10 8) (9 8) (8 8) (7 8) (7 7) (6 7) (5 7) (4 7) (4 6) (3 6) (2 6) (2 5) (1 5) 
2,2,2,(15 8),(1 5),154,113,240,(15 8) (15 7) (15 6) (15 5) (14 5) (13 5) (12 5) (11 5) (10 5) (9 5) (8 5) (7 5) (6 5) (5 5) (4 5) (3 5) (2 5) (1 5) 
2,3,1,(15 8),(1 5),220,173,200,(15 8) (15 7) (14 7) (13 7) (12 7) (11 7) (10 7) (9 7) (8 7) (7 7) (6 7) (6 6) (5 6) (4 6) (3 6) (2 6) (1 6) (1 5) 
2,3,2,(15 8),(1 5),137,89,200,(15 8) (15 7) (14 7) (13 7) (12 7) (11 7) (10 7) (9 7) (8 7) (7 7) (6 7) (6 6) (5 6) (4 6) (3 6) (2 6) (1 6) (1 5) 
2,4,1,(15 8),(1 5),78,36,161,(15 8) (14 8) (13 8) (12 8) (11 8) (10 8) (9 8) (8 8) (7 8) (6 8) (5 8) (4 8) (3 8) (2 8) (1 8) (1 7) (1 6) (1 5) 
2,4,2,(15 8),(1 5),51,19,149,(15 8) (15 7) (15 6) (15 5) (14 5) (13 5) (12 5) (11 5) (10 5) (9 5) (8 5) (7 5) (6 5) (5 5) (4 5) (3 5) (2 5) (1 5) 
3,1,1,(15 0),(25 22),349,295,320,(15 0) (15 1) (15 2) (15 3) (15 4) (15 5) (15 6) (15 7) (15 8) (15 9) (15 10) (15 11) (15 12) (16 12) (16 13) (16 14) (17 14) (17 15) (18 15) (18 16) (19 16) (19 17) (20 17) (20 18) (21 18) (21 19) (22 19) (23 19) (23 20) (23 21) (24 21) (25 21) (25 22) 
