Iteration,Algorithm,Cenary,Heuristic,Initial State,Objective,Generated vertices amount,Visited vertices amount,Cost,Path
0,GS,1,1,(23 5),(18 5),42,22,70,(23 5) (22 5) (22 4) (21 4) (20 4) (19 4) (18 4) (18 5) 
0,A*,1,1,(23 5),(18 5),151,88,130,(23 5) (23 6) (24 6) (24 7) (24 8) (23 8) (22 8) (21 8) (21 7) (21 6) (21 5) (20 5) (19 5) (18 5) 
0,GS,1,2,(23 5),(18 5),75,41,150,(23 5) (23 6) (24 6) (25 6) (25 5) (25 4) (24 4) (24 3) (23 3) (22 3) (22 4) (21 4) (20 4) (20 5) (19 5) (18 5) 
0,A*,1,2,(23 5),(18 5),37,18,70,(23 5) (22 5) (22 6) (21 6) (20 6) (19 6) (19 5) (18 5) 
0,GS,2,1,(23 5),(18 5),285,192,455,(23 5) (24 5) (25 5) (26 5) (26 6) (27 6) (28 6) (28 7) (28 8) (28 9) (28 10) (29 10) (29 11) (29 12) (28 12) (27 12) (27 13) (27 14) (27 15) (26 15) (25 15) (25 14) (24 14) (23 14) (22 14) (21 14) (20 14) (19 14) (19 13) (19 12) (19 11) (18 11) (18 10) (18 9) (18 8) (18 7) (18 6) (18 5) 
0,A*,2,1,(23 5),(18 5),220,123,145,(23 5) (23 6) (23 7) (22 7) (21 7) (20 7) (19 7) (18 7) (17 7) (17 6) (17 5) (18 5) 
0,GS,2,2,(23 5),(18 5),453,350,115,(23 5) (22 5) (22 6) (22 7) (21 7) (20 7) (19 7) (18 7) (18 6) (18 5) 
0,A*,2,2,(23 5),(18 5),315,204,95,(23 5) (22 5) (22 6) (21 6) (20 6) (20 5) (19 5) (18 5) 
0,GS,3,1,(23 5),(18 5),224,168,103,(23 5) (22 5) (22 4) (22 3) (21 3) (20 3) (20 4) (20 5) (19 5) (18 5) 
0,A*,3,1,(23 5),(18 5),636,418,98,(23 5) (23 6) (23 7) (22 7) (21 7) (21 6) (20 6) (19 6) (18 6) (18 5) 
0,GS,3,2,(23 5),(18 5),960,926,100,(23 5) (22 5) (22 4) (21 4) (21 3) (20 3) (19 3) (18 3) (18 4) (18 5) 
0,A*,3,2,(23 5),(18 5),3770,3246,194,(23 5) (24 5) (25 5) (25 4) (25 3) (25 2) (24 2) (24 1) (23 1) (22 1) (21 1) (20 1) (19 1) (18 1) (18 2) (18 3) (18 4) (18 5) 
0,GS,4,1,(23 5),(18 5),342,239,158,(23 5) (22 5) (22 4) (22 3) (23 3) (23 2) (23 1) (22 1) (21 1) (20 1) (19 1) (18 1) (17 1) (17 2) (17 3) (17 4) (18 4) (18 5) 
0,A*,4,1,(23 5),(18 5),113,51,131,(23 5) (23 6) (23 7) (22 7) (21 7) (20 7) (20 8) (20 9) (19 9) (18 9) (18 8) (18 7) (18 6) (18 5) 
0,GS,4,2,(23 5),(18 5),293,208,158,(23 5) (23 6) (23 7) (23 8) (23 9) (22 9) (21 9) (21 10) (20 10) (19 10) (18 10) (17 10) (17 9) (17 8) (17 7) (17 6) (17 5) (18 5) 
0,A*,4,2,(23 5),(18 5),4003,3564,154,(23 5) (23 4) (24 4) (25 4) (25 5) (26 5) (26 6) (26 7) (25 7) (24 7) (23 7) (22 7) (21 7) (20 7) (19 7) (18 7) (18 6) (18 5) 
